SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
51,K.R.S,2011,1,01-01-2011,46.42,122.59,2029,2000,K.R.S-2011-01-01
52,K.R.S,2011,1,02-01-2011,46.54,122.68,3084,1490,K.R.S-2011-01-02
53,K.R.S,2011,1,03-01-2011,46.64,122.75,2776,1491,K.R.S-2011-01-03
54,K.R.S,2011,1,04-01-2011,46.69,122.79,2311,1491,K.R.S-2011-01-04
55,K.R.S,2011,1,05-01-2011,46.7,122.8,1847,1491,K.R.S-2011-01-05
56,K.R.S,2011,1,06-01-2011,46.74,122.83,2156,1491,K.R.S-2011-01-06
57,K.R.S,2011,1,07-01-2011,46.76,122.84,1847,1491,K.R.S-2011-01-07
135,K.R.S,2011,2,08-01-2011,46.78,122.86,2002,1491,K.R.S-2011-01-08
136,K.R.S,2011,2,09-01-2011,46.77,122.85,1537,1491,K.R.S-2011-01-09
137,K.R.S,2011,2,10-01-2011,46.74,122.83,1382,1491,K.R.S-2011-01-10
138,K.R.S,2011,2,11-01-2011,46.7,122.8,1228,1491,K.R.S-2011-01-11
139,K.R.S,2011,2,12-01-2011,46.45,122.61,1530,4272,K.R.S-2011-01-12
140,K.R.S,2011,2,13-01-2011,46.45,122.61,1530,4272,K.R.S-2011-01-13
141,K.R.S,2011,2,14-01-2011,46.13,122.37,1667,5183,K.R.S-2011-01-14
219,K.R.S,2011,3,15-01-2011,45.77,122.1,1184,5164,K.R.S-2011-01-15
220,K.R.S,2011,3,16-01-2011,45.45,121.86,1651,5123,K.R.S-2011-01-16
221,K.R.S,2011,3,17-01-2011,45.17,121.65,2103,5104,K.R.S-2011-01-17
222,K.R.S,2011,3,18-01-2011,44.95,121.48,2694,5089,K.R.S-2011-01-18
223,K.R.S,2011,3,19-01-2011,44.69,121.28,2205,5055,K.R.S-2011-01-19
224,K.R.S,2011,3,20-01-2011,44.44,121.09,2351,5049,K.R.S-2011-01-20
225,K.R.S,2011,3,21-01-2011,44.2,120.9,2347,5014,K.R.S-2011-01-21
305,K.R.S,2011,4,22-01-2011,43.94,120.7,2211,4998,K.R.S-2011-01-22
306,K.R.S,2011,4,23-01-2011,43.68,120.5,2195,4982,K.R.S-2011-01-23
307,K.R.S,2011,4,24-01-2011,43.45,120.32,2455,4946,K.R.S-2011-01-24
308,K.R.S,2011,4,25-01-2011,43.16,120.09,1709,4941,K.R.S-2011-01-25
309,K.R.S,2011,4,26-01-2011,42.59,119.64,1874,4891,K.R.S-2011-01-26
