SL_NO,FLOW_DATE,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,PRESENT_STORAGE_TMC
0,1/1/2021,90.07,173,30,2.677
1,1/2/2021,90.07,173,30,2.677
2,1/3/2021,90.07,173,30,2.677
3,1/4/2021,90.07,173,30,2.677
4,1/5/2021,90.07,173,30,2.677
5,1/6/2021,90.17571429,171.5,30,2.686571429
6,1/7/2021,90.28142857,170,30,2.696142857
7,1/8/2021,90.38714286,168.5,30,2.705714286
8,1/9/2021,90.49285714,167,30,2.715285714
9,1/10/2021,90.59857143,165.5,30,2.724857143
10,1/11/2021,90.70428571,164,30,2.734428571
11,1/12/2021,90.81,162.5,30,2.744
12,1/13/2021,90.91571429,161,30,2.753571429
13,1/14/2021,91.02142857,159.5,30,2.763142857
14,1/15/2021,91.12714286,158,30,2.772714286
15,1/16/2021,91.23285714,156.5,30,2.782285714
16,1/17/2021,91.33857143,155,30,2.791857143
17,1/18/2021,91.44428571,153.5,30,2.801428571
18,1/19/2021,91.55,152,30,2.811
19,1/20/2021,91.835,131,30,2.8365
20,1/21/2021,92.12,110,30,2.862
21,1/22/2021,92.18,110,30,2.868
22,1/23/2021,92.20333333,113.6666667,30,2.87
23,1/24/2021,92.22666667,117.3333333,30,2.872
24,1/25/2021,92.25,121,30,2.874
25,1/26/2021,92.34,115.5,30,2.882
26,1/27/2021,92.43,110,30,2.89
27,1/28/2021,92.495,99.5,30,2.896
28,1/29/2021,92.56,89,30,2.902
29,1/30/2021,92.589,88,30,2.9046
30,1/31/2021,92.618,87,30,2.9072
31,2/1/2021,92.647,86,30,2.9098
32,2/2/2021,92.676,85,30,2.9124
33,2/3/2021,92.705,84,30,2.915
34,2/4/2021,92.734,83,30,2.9176
35,2/5/2021,92.763,82,30,2.9202
36,2/6/2021,92.792,81,30,2.9228
37,2/7/2021,92.821,80,30,2.9254
38,2/8/2021,92.85,79,30,2.928
39,2/9/2021,92.87,73.5,30,2.93
40,2/10/2021,92.89,68,30,2.932
41,2/11/2021,92.91,68,30,2.9335
42,2/12/2021,92.93,68,30,2.935
43,2/13/2021,92.9475,65.5,30,2.93675
44,2/14/2021,92.965,63,30,2.9385
45,2/15/2021,92.9825,60.5,30,2.94025
46,2/16/2021,93,58,30,2.942
47,2/17/2021,93.01,58,30,2.943
48,2/18/2021,93.02,58,30,2.944
49,2/19/2021,93.02,58,30,2.944
50,2/20/2021,93.02333333,58,30,2.944
51,2/21/2021,93.02666667,58,30,2.944
52,2/22/2021,93.03,58,30,2.944
53,2/23/2021,93.21,174,30,2.961
54,2/24/2021,93.29,132,30,2.968
55,2/25/2021,93.35,111,30,2.973
56,2/26/2021,93.37,69,30,2.975
57,2/27/2021,93.39,69,30,2.977
58,2/28/2021,93.4,69,30,2.978
59,3/1/2021,93.41,69,30,2.979
60,3/2/2021,93.42,59,30,2.98
61,3/3/2021,93.42,49,30,2.98
62,3/4/2021,93.42,49,30,2.98
63,3/5/2021,93.41,49,30,2.979
64,3/6/2021,93.37,37,55,2.975
65,3/7/2021,93.37,37,55,2.975
66,3/8/2021,93.37,37,55,2.975
67,3/9/2021,93.37,37,55,2.975
68,3/10/2021,93.32,48,45,2.971
69,3/11/2021,93.3,48,45,2.969
70,3/12/2021,93.3,48,45,2.969
71,3/13/2021,93.27,59,45,2.966
72,3/14/2021,93.27,59,45,2.966
73,3/15/2021,93.27,59,45,2.966
74,3/16/2021,93.23,48,45,2.963
75,3/17/2021,93.19,48,45,2.959
76,3/18/2021,93.16,38,45,2.956
77,3/19/2021,93.14,48,45,2.954
78,3/20/2021,93.11,38,45,2.952
79,3/21/2021,93.11,38,45,2.952
80,3/22/2021,93.11,38,45,2.952
81,3/23/2021,93.16,38,45,2.956
82,3/24/2021,93,38,45,2.942
83,3/25/2021,92.96,27,45,2.938
84,3/26/2021,92.93,38,45,2.935
85,3/27/2021,92.9,38,45,2.933
86,3/28/2021,92.9,38,45,2.933
87,3/29/2021,92.9,38,45,2.933
88,3/30/2021,92.8,38,45,2.924
89,3/31/2021,92.76,27,45,2.92
90,4/1/2021,92.73,38,45,2.917
91,4/2/2021,92.69,27,45,2.914
92,4/3/2021,92.69,27,45,2.914
93,4/4/2021,92.69,27,45,2.914
94,4/5/2021,92.69,27,45,2.914
95,4/6/2021,92.4,37,180,2.888
96,4/7/2021,92.4,37,180,2.888
97,4/8/2021,92.06,36,200,2.857
98,4/9/2021,91.88,36,200,2.841
99,4/10/2021,91.71,36,190,2.825
100,4/11/2021,91.71,36,190,2.825
101,4/12/2021,91.71,36,190,2.825
102,4/13/2021,91.2,36,190,2.779
103,4/14/2021,91.2,36,190,2.779
104,4/15/2021,91.2,36,190,2.779
105,4/16/2021,91.2,36,190,2.779
106,4/17/2021,90.58,85,270,2.723
107,4/18/2021,90.58,85,270,2.723
108,4/19/2021,90.58,85,270,2.723
109,4/20/2021,89.86,41,270,2.658
110,4/21/2021,89.58,51,320,2.633
111,4/22/2021,89.58545455,68.54545455,300,2.633454545
112,4/23/2021,89.59090909,86.09090909,280,2.633909091
113,4/24/2021,89.59636364,103.6363636,260,2.634363636
114,4/25/2021,89.60181818,121.1818182,240,2.634818182
115,4/26/2021,89.60727273,138.7272727,220,2.635272727
116,4/27/2021,89.61272727,156.2727273,200,2.635727273
