SL_NO,FLOW_DATE,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,PRESENT_STORAGE_TMC
0,1/1/2021,86.99,65,2100,15.171
1,1/2/2021,86.99,65,2100,15.171
2,1/3/2021,86.99,65,2100,15.171
3,1/4/2021,86.99,65,2100,15.171
4,1/5/2021,86.99,65,2100,15.171
5,1/6/2021,86.86214286,70.92857143,2064.285714,15.099
6,1/7/2021,86.73428571,76.85714286,2028.571429,15.027
7,1/8/2021,86.60642857,82.78571429,1992.857143,14.955
8,1/9/2021,86.47857143,88.71428571,1957.142857,14.883
9,1/10/2021,86.35071429,94.64285714,1921.428571,14.811
10,1/11/2021,86.22285714,100.5714286,1885.714286,14.739
11,1/12/2021,86.095,106.5,1850,14.667
12,1/13/2021,85.96714286,112.4285714,1814.285714,14.595
13,1/14/2021,85.83928571,118.3571429,1778.571429,14.523
14,1/15/2021,85.71142857,124.2857143,1742.857143,14.451
15,1/16/2021,85.58357143,130.2142857,1707.142857,14.379
16,1/17/2021,85.45571429,136.1428571,1671.428571,14.307
17,1/18/2021,85.32785714,142.0714286,1635.714286,14.235
18,1/19/2021,85.2,148,1600,14.163
19,1/20/2021,84.785,190.5,925,13.9295
20,1/21/2021,84.37,233,250,13.696
21,1/22/2021,84.37,299,250,13.696
22,1/23/2021,84.37,282.3333333,233.3333333,13.696
23,1/24/2021,84.37,265.6666667,216.6666667,13.696
24,1/25/2021,84.37,249,200,13.696
25,1/26/2021,84.37,249.5,200,13.696
26,1/27/2021,84.37,250,200,13.696
27,1/28/2021,84.36,250,200,13.6905
28,1/29/2021,84.35,250,200,13.685
29,1/30/2021,84.347,243.7,200,13.6833
30,1/31/2021,84.344,237.4,200,13.6816
31,2/1/2021,84.341,231.1,200,13.6799
32,2/2/2021,84.338,224.8,200,13.6782
33,2/3/2021,84.335,218.5,200,13.6765
34,2/4/2021,84.332,212.2,200,13.6748
35,2/5/2021,84.329,205.9,200,13.6731
36,2/6/2021,84.326,199.6,200,13.6714
37,2/7/2021,84.323,193.3,200,13.6697
38,2/8/2021,84.32,187,200,13.668
39,2/9/2021,84.32,219.5,200,13.668
40,2/10/2021,84.32,252,200,13.668
41,2/11/2021,84.285,156.5,300,13.648
42,2/12/2021,84.25,61,400,13.628
43,2/13/2021,84.185,142.5,400,13.5915
44,2/14/2021,84.12,224,400,13.555
45,2/15/2021,84.055,305.5,400,13.5185
46,2/16/2021,83.99,387,400,13.482
47,2/17/2021,83.98,187,200,13.477
48,2/18/2021,83.97,287,300,13.471
49,2/19/2021,83.97,287,300,13.471
50,2/20/2021,83.96,243.6666667,300,13.46533333
51,2/21/2021,83.95,200.3333333,300,13.45966667
52,2/22/2021,83.94,157,300,13.454
53,2/23/2021,83.96,609,300,13.465
54,2/24/2021,83.98,479,300,13.477
55,2/25/2021,84.01,544,300,13.493
56,2/26/2021,84.07,1059,620,13.527
57,2/27/2021,83.94,201,1000,13.454
58,2/28/2021,83.855,321,1250,13.406
59,3/1/2021,83.77,441,1500,13.358
60,3/2/2021,83.52,398,1000,13.218
61,3/3/2021,83.4,267,1000,13.15
62,3/4/2021,83.26,137,1000,13.071
63,3/5/2021,83.19,93,500,13.032
64,3/6/2021,83.15,88,300,13.009
65,3/7/2021,83.15,88,300,13.009
66,3/8/2021,83.15,88,300,13.009
67,3/9/2021,83.15,88,300,13.009
68,3/10/2021,82.99,108,300,12.921
69,3/11/2021,82.94,114,300,12.901
70,3/12/2021,82.94,114,300,12.901
71,3/13/2021,82.83,67,300,12.856
72,3/14/2021,82.83,67,300,12.856
73,3/15/2021,82.83,67,300,12.856
74,3/16/2021,82.72,68,300,12.811
75,3/17/2021,82.55,80,500,12.742
76,3/18/2021,82.45,79,500,12.701
77,3/19/2021,82.35,79,500,12.66
78,3/20/2021,82.26,126,500,12.623
79,3/21/2021,82.26,126,500,12.623
80,3/22/2021,82.26,126,500,12.623
81,3/23/2021,82.45,79,500,12.701
82,3/24/2021,81.9,174,500,12.477
83,3/25/2021,81.81,127,500,12.44
