SL_NO,FLOW_DATE,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,PRESENT_STORAGE_TMC
0,1/1/2021,52.27,371,250,12.311
1,1/2/2021,52.27,371,250,12.311
2,1/3/2021,52.27,371,250,12.311
3,1/4/2021,52.27,371,250,12.311
4,1/5/2021,52.27,371,250,12.311
5,1/6/2021,52.29857143,387.7857143,250,12.3255
6,1/7/2021,52.32714286,404.5714286,250,12.34
7,1/8/2021,52.35571429,421.3571429,250,12.3545
8,1/9/2021,52.38428571,438.1428571,250,12.369
9,1/10/2021,52.41285714,454.9285714,250,12.3835
10,1/11/2021,52.44142857,471.7142857,250,12.398
11,1/12/2021,52.47,488.5,250,12.4125
12,1/13/2021,52.49857143,505.2857143,250,12.427
13,1/14/2021,52.52714286,522.0714286,250,12.4415
14,1/15/2021,52.55571429,538.8571429,250,12.456
15,1/16/2021,52.58428571,555.6428571,250,12.4705
16,1/17/2021,52.61285714,572.4285714,250,12.485
17,1/18/2021,52.64142857,589.2142857,250,12.4995
18,1/19/2021,52.67,606,250,12.514
19,1/20/2021,52.8,514,275,12.5795
20,1/21/2021,52.93,422,300,12.645
21,1/22/2021,52.93,363,300,12.645
22,1/23/2021,52.93333333,382.6666667,300,12.64666667
23,1/24/2021,52.93666667,402.3333333,300,12.64833333
24,1/25/2021,52.94,422,300,12.65
25,1/26/2021,52.935,363.5,300,12.6475
26,1/27/2021,52.93,305,300,12.645
27,1/28/2021,52.9,246.5,300,12.63
28,1/29/2021,52.87,188,300,12.615
29,1/30/2021,52.843,182.8,300,12.6013
30,1/31/2021,52.816,177.6,300,12.5876
31,2/1/2021,52.789,172.4,300,12.5739
32,2/2/2021,52.762,167.2,300,12.5602
33,2/3/2021,52.735,162,300,12.5465
34,2/4/2021,52.708,156.8,300,12.5328
35,2/5/2021,52.681,151.6,300,12.5191
36,2/6/2021,52.654,146.4,300,12.5054
37,2/7/2021,52.627,141.2,300,12.4917
38,2/8/2021,52.6,136,300,12.478
39,2/9/2021,52.57,164.5,300,12.463
40,2/10/2021,52.54,193,300,12.448
41,2/11/2021,52.5,164,300,12.4275
42,2/12/2021,52.46,135,300,12.407
43,2/13/2021,52.395,130.75,325,12.37425
44,2/14/2021,52.33,126.5,350,12.3415
45,2/15/2021,52.265,122.25,375,12.30875
46,2/16/2021,52.2,118,400,12.276
