SL_NO,FLOW_DATE,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,PRESENT_STORAGE_TMC
0,1/1/2021,118.66,746,989,41.374
1,1/2/2021,118.66,746,989,41.374
2,1/3/2021,118.66,746,989,41.374
3,1/4/2021,118.66,746,989,41.374
4,1/5/2021,118.66,746,989,41.374
5,1/6/2021,118.67,809.8571429,1042.714286,41.38621429
6,1/7/2021,118.68,873.7142857,1096.428571,41.39842857
7,1/8/2021,118.69,937.5714286,1150.142857,41.41064286
8,1/9/2021,118.7,1001.428571,1203.857143,41.42285714
9,1/10/2021,118.71,1065.285714,1257.571429,41.43507143
10,1/11/2021,118.72,1129.142857,1311.285714,41.44728571
11,1/12/2021,118.73,1193,1365,41.4595
12,1/13/2021,118.74,1256.857143,1418.714286,41.47171429
13,1/14/2021,118.75,1320.714286,1472.428571,41.48392857
14,1/15/2021,118.76,1384.571429,1526.142857,41.49614286
15,1/16/2021,118.77,1448.428571,1579.857143,41.50835714
16,1/17/2021,118.78,1512.285714,1633.571429,41.52057143
17,1/18/2021,118.79,1576.142857,1687.285714,41.53278571
18,1/19/2021,118.8,1640,1741,41.545
19,1/20/2021,117.96,1278.5,2978.5,40.5285
20,1/21/2021,117.12,917,4216,39.512
21,1/22/2021,116.87,848,4110,39.216
22,1/23/2021,116.7966667,988.6666667,4103.333333,39.13033333
23,1/24/2021,116.7233333,1129.333333,4096.666667,39.04466667
24,1/25/2021,116.65,1270,4090,38.959
25,1/26/2021,116.325,1394.5,3062,38.5785
26,1/27/2021,116,1519,2034,38.198
27,1/28/2021,115.66,1127,2497,37.809
28,1/29/2021,115.32,735,2960,37.42
29,1/30/2021,115.288,692.4,2745.3,37.3834
30,1/31/2021,115.256,649.8,2530.6,37.3468
31,2/1/2021,115.224,607.2,2315.9,37.3102
32,2/2/2021,115.192,564.6,2101.2,37.2736
33,2/3/2021,115.16,522,1886.5,37.237
34,2/4/2021,115.128,479.4,1671.8,37.2004
35,2/5/2021,115.096,436.8,1457.1,37.1638
36,2/6/2021,115.064,394.2,1242.4,37.1272
37,2/7/2021,115.032,351.6,1027.7,37.0906
38,2/8/2021,115,309,813,37.054
39,2/9/2021,114.95,305,803,36.998
40,2/10/2021,114.9,301,793,36.942
41,2/11/2021,114.85,301,793,36.8865
42,2/12/2021,114.8,301,793,36.831
43,2/13/2021,114.42,300.5,1769,36.411
44,2/14/2021,114.04,300,2745,35.991
45,2/15/2021,113.66,299.5,3721,35.571
46,2/16/2021,113.28,299,4697,35.151
47,2/17/2021,112.91,284,4783,34.749
48,2/18/2021,112.53,324,4867,34.344
49,2/19/2021,112.53,324,4867,34.344
50,2/20/2021,112.4033333,321,4864,34.20866667
51,2/21/2021,112.2766667,318,4861,34.07333333
52,2/22/2021,112.15,315,4858,33.938
53,2/23/2021,110.82,1185,4610,32.554
54,2/24/2021,110.48,731,4594,32.208
55,2/25/2021,110.13,503,4484,31.851
56,2/26/2021,109.8,684,4376,31.52
57,2/27/2021,109.46,595,4367,31.182
58,2/28/2021,109.29,591,4363,31.013
59,3/1/2021,109.12,587,4359,30.844
60,3/2/2021,108.86,308,1184,30.589
61,3/3/2021,108.83,380,583,30.56
62,3/4/2021,108.8,392,583,30.531
63,3/5/2021,108.76,279,583,30.492
64,3/6/2021,108.72,279,583,30.454
65,3/7/2021,108.72,279,583,30.454
66,3/8/2021,108.72,279,583,30.454
67,3/9/2021,108.72,279,583,30.454
