Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Harnahalli, Piriyapatna, Karnataka, India",01-01-2011,17.6,17.6,17.6,,,0.3,,,0,,,1.8,50.8,96.11,"Rain, Partially cloudy"
"Harnahalli, Piriyapatna, Karnataka, India",02-01-2011,15.1,15.1,15.1,,,0,,,1.5,270,,1.8,57.2,93.86,Partially cloudy
"Harnahalli, Piriyapatna, Karnataka, India",03-01-2011,18.7,18.7,18.7,,,0,,,2.4,90,,1.8,100,91.47,Overcast
"Harnahalli, Piriyapatna, Karnataka, India",04-01-2011,18.7,18.7,18.7,,,0,,,10.1,57,,2,10,83.68,Clear
"Harnahalli, Piriyapatna, Karnataka, India",05-01-2011,18.4,18.4,18.4,,,0,,,6.8,127,,1.8,81.8,90.04,Overcast
"Harnahalli, Piriyapatna, Karnataka, India",06-01-2011,,,,,,0,,,,,,,,,
"Harnahalli, Piriyapatna, Karnataka, India",07-01-2011,18.2,18.2,18.2,,,0,,,6.8,54,,1.8,0,79.7,Clear
"Harnahalli, Piriyapatna, Karnataka, India",08-01-2011,16.1,16.1,16.1,,,0,,,0.3,70,,1.8,0,89.93,Clear
"Harnahalli, Piriyapatna, Karnataka, India",09-01-2011,19.4,19.4,19.4,,,0,,,3,90,,1.8,13.6,78.21,Clear
"Harnahalli, Piriyapatna, Karnataka, India",10-01-2011,19.3,19.3,19.3,,,0,,,3.6,241,,1.8,54.6,61.23,Partially cloudy
"Harnahalli, Piriyapatna, Karnataka, India",11-01-2011,18.5,18.5,18.5,,,0,,,3.3,90,,1.8,42.8,51.62,Partially cloudy
"Harnahalli, Piriyapatna, Karnataka, India",12-01-2011,14.4,14.4,14.4,,,0,,,0,,,1.8,0,68.29,Clear
"Harnahalli, Piriyapatna, Karnataka, India",13-01-2011,12.6,12.6,12.6,,,0,,,1.5,270,,3.4,0,91.11,Clear
"Harnahalli, Piriyapatna, Karnataka, India",14-01-2011,18.3,18.3,18.3,,,0,,,8,86,,1.8,24.6,54.37,Clear
