Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Heggadi Koppalu, Piriyapatna, Karnataka, India",01-01-2010,20.7,20.7,20.7,,,0.1,,,3.7,69,,1.5,57.8,86.44,"Rain, Partially cloudy"
"Heggadi Koppalu, Piriyapatna, Karnataka, India",01-02-2010,19.5,19.5,19.5,,,0,,,1.8,59,,2.9,47.8,81.75,Partially cloudy
"Heggadi Koppalu, Piriyapatna, Karnataka, India",01-03-2010,19,19,19,,,0,,,1.8,59,,2,31.8,78.42,Partially cloudy
"Heggadi Koppalu, Piriyapatna, Karnataka, India",01-04-2010,17.9,17.9,17.9,,,0,,,1.8,216,,2,15.9,76.6,Clear
"Heggadi Koppalu, Piriyapatna, Karnataka, India",01-05-2010,18.3,18.3,18.3,,,0,,,0,,,2,0,71.4,Clear
"Heggadi Koppalu, Piriyapatna, Karnataka, India",01-06-2010,19.6,19.6,19.6,,,0,,,1,50,,2,0,74.56,Clear
"Heggadi Koppalu, Piriyapatna, Karnataka, India",01-07-2010,18.4,18.4,18.4,,,0,,,2.8,98,,2,47.8,71.04,Partially cloudy
"Heggadi Koppalu, Piriyapatna, Karnataka, India",01-08-2010,19,19,19,,,0,,,1.8,98,,2,31.2,83.2,Partially cloudy
"Heggadi Koppalu, Piriyapatna, Karnataka, India",01-09-2010,20.2,20.2,20.2,,,0,,,2.8,50,,2,53.1,85.46,Partially cloudy
"Heggadi Koppalu, Piriyapatna, Karnataka, India",01-10-2010,20.8,20.8,20.8,,,0,,,1.9,140,,2,66.5,87.82,Partially cloudy
"Heggadi Koppalu, Piriyapatna, Karnataka, India",01-11-2010,19.8,19.8,19.8,,,0,,,1,140,,1.5,57.8,90.71,Partially cloudy
"Heggadi Koppalu, Piriyapatna, Karnataka, India",01-12-2010,19.5,19.5,19.5,,,0,,,0,,,2,4.7,81.6,Clear
