Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Chikkamagaluru, Karnataka, India",01-01-2016,27.4,22.9,25.9,,27.1,0,,,7.4,118.33,,9.9,16.3,37.6,Clear
"Chikkamagaluru, Karnataka, India",02-01-2016,30.4,23.8,27.6,,29.6,0,,,8,129.5,,10,14.6,33.58,Clear
"Chikkamagaluru, Karnataka, India",03-01-2016,31.1,15.7,26.2,,29.2,0,,,7.4,147.5,,10,12.2,41.08,Clear
"Chikkamagaluru, Karnataka, India",04-01-2016,30.4,18.1,25.8,,29,0,,,10.5,133.25,,8.9,6.5,42.19,Clear
"Chikkamagaluru, Karnataka, India",05-01-2016,30.1,21.1,26,,29,0,,,7.6,133.25,,7.1,24.3,37.45,Clear
"Chikkamagaluru, Karnataka, India",06-01-2016,28.1,20.9,24.7,,27.4,0,,,7.6,168,,4.8,32.3,50.59,Partially cloudy
"Chikkamagaluru, Karnataka, India",07-01-2016,27.1,20.3,24.5,,26.7,0,,,7.6,152.33,,5.5,32.5,51.5,Partially cloudy
"Chikkamagaluru, Karnataka, India",08-01-2016,29.1,24.2,26.9,,29.6,0,,,9.2,89.67,,7.4,16.4,52.09,Clear
"Chikkamagaluru, Karnataka, India",09-01-2016,29.4,22.2,26.8,,30,0,,,8.6,178.25,,10,15.6,41.02,Clear
"Chikkamagaluru, Karnataka, India",10-01-2016,30.1,21.3,26.9,,31.2,0,,,7.5,79.75,,8.5,12.2,50.25,Clear
"Chikkamagaluru, Karnataka, India",11-01-2016,30.1,21,25.8,,30.3,0,,,7.6,133.5,,8.5,24.4,49.24,Clear
"Chikkamagaluru, Karnataka, India",12-01-2016,30.1,25.5,27.9,,30.1,0,,,7.6,242.33,,7.4,32.9,44.38,Partially cloudy
"Chikkamagaluru, Karnataka, India",13-01-2016,30.1,22,26.6,,30.5,0,,,9.3,200.75,,6.6,24.3,47.17,Clear
"Chikkamagaluru, Karnataka, India",14-01-2016,27.4,21.2,25.3,,28.2,0,,,7.6,187.33,,8,36.2,53.61,Partially cloudy
"Chikkamagaluru, Karnataka, India",15-01-2016,27.7,22.2,25.1,,28.7,0,,,7.6,288.33,,7.3,49.2,56.99,Partially cloudy
"Chikkamagaluru, Karnataka, India",16-01-2016,27.1,18.8,24.3,,27.4,0,,,6.8,296.67,,8.6,33.2,59.08,Partially cloudy
"Chikkamagaluru, Karnataka, India",17-01-2016,28.4,19.1,24.9,,28.4,0,,,7.5,271.33,,9.9,16.1,51.45,Clear
"Chikkamagaluru, Karnataka, India",18-01-2016,26.4,20.3,23.6,,,0,,,7.5,213.33,,8,60.3,59.56,Partially cloudy
"Chikkamagaluru, Karnataka, India",19-01-2016,24.4,20.1,22.7,,,2,,,9.3,223.5,,6.5,70.5,68.31,"Rain, Partially cloudy"
"Chikkamagaluru, Karnataka, India",20-01-2016,27.1,26.1,26.6,,28.1,0,,,6.2,236,,8.9,49.8,62.72,Partially cloudy
"Chikkamagaluru, Karnataka, India",21-01-2016,26.5,20.3,23.4,,,0,,,9.3,207,,7,48.8,68.69,Partially cloudy
"Chikkamagaluru, Karnataka, India",22-01-2016,31.4,21.3,26.9,,33.2,0,,,7.5,203.5,,6.6,36.8,54.15,Partially cloudy
"Chikkamagaluru, Karnataka, India",23-01-2016,31.4,20.4,27.4,,33.2,0,,,7.4,250.75,,10,34.9,60.89,Partially cloudy
"Chikkamagaluru, Karnataka, India",24-01-2016,31.4,29,30.1,,33.2,0,,,6.2,65,,10,3.4,56.36,Clear
"Chikkamagaluru, Karnataka, India",25-01-2016,31.4,22.3,27.8,,34.4,0,,,7.5,139,,8,51.9,63.76,Partially cloudy
