Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Karnataka, India",01-01-2010,27.1,17.1,21.8,,27.2,0.3,,,20.5,122.5,,6.5,37.9,72.41,"Rain, Partially cloudy"
"Karnataka, India",01-02-2010,27,16.1,20.9,,26.8,0,,,18.4,98.95,,6.7,27.1,66.98,Partially cloudy
"Karnataka, India",01-03-2010,26.1,16.1,20.4,,,0,,,16.6,87.5,,7,33.9,66.54,Partially cloudy
"Karnataka, India",01-04-2010,27.1,12.1,20.1,,26.3,0,,,20.5,64.44,,6.3,27.1,59.74,Partially cloudy
"Karnataka, India",01-05-2010,28,11.1,20.6,,27.1,0,,,20.5,92,,6.7,12.9,60.85,Clear
"Karnataka, India",01-06-2010,26.3,14,20.4,,,0,,,14.8,90.59,,6.4,37.9,64.1,Partially cloudy
"Karnataka, India",01-07-2010,25.6,13,19.3,,,0,,,13.8,91.9,,5.8,42.4,75.24,Partially cloudy
"Karnataka, India",01-08-2010,26.5,16,21,,,0,,,12.1,111.25,,5.9,66.3,75.23,Partially cloudy
"Karnataka, India",01-09-2010,27.5,19,22.5,,27.9,0,,,18.5,114.58,,6.8,78.7,74.66,Overcast
"Karnataka, India",01-10-2010,27,19,22.5,,27.2,0,,,16.6,140.91,,6.7,63.9,75.29,Partially cloudy
"Karnataka, India",01-11-2010,28.5,20,23.3,,28.8,0,,,16.6,139.38,,7,53.3,75.26,Partially cloudy
"Karnataka, India",01-12-2010,27.8,19,22.8,,28.5,0,,,13,131,,5.6,67.2,78.45,Partially cloudy
"Karnataka, India",01/13/2010,28,20,23.3,,28.7,0,,,13.9,139.52,,5.5,66.9,77.9,Partially cloudy
"Karnataka, India",01/14/2010,28,19.5,23.2,,28.3,0,,,17.4,128.04,,6.8,53.3,74.43,Partially cloudy
"Karnataka, India",01/15/2010,26,17.5,21.8,,,0,,,19.5,108.96,,5.7,55.1,72.73,Partially cloudy
