Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"KA, India",01/01/2021,25.1,17.7,20.9,,,1,,,15.8,69.71,,5.9,51,71.66,"Rain, Partially cloudy"
"KA, India",01/02/2021,24.3,16.5,20.9,,,0,,,11,66.79,,4.9,75.3,80.8,Overcast
"KA, India",01/03/2021,26,19.3,22,,,0,,,14.8,73.25,,6.4,74.8,81.58,Partially cloudy
"KA, India",01/04/2021,23.5,19,21,,,0.4,,,13,80.79,,4.9,84.3,84.63,"Rain, Overcast"
"KA, India",01/05/2021,26.1,19,21.9,,,0,,,13.9,67.83,,6.5,77.5,82.7,Overcast
"KA, India",01/06/2021,24.1,20,21.4,,,43,,,13,96,,4.4,92.4,92.54,"Rain, Overcast"
"KA, India",01/07/2021,24.3,19.8,21.7,,,14.25,,,11.5,85.96,,5.9,83.7,91.01,"Rain, Overcast"
"KA, India",01/08/2021,25.9,20.3,22.6,,,0,,,11.2,88.92,,5.9,74.3,85.12,Partially cloudy
"KA, India",01/09/2021,24.5,19.2,21.7,,,0,,,13.6,85.65,,5.8,71,86.23,Partially cloudy
"KA, India",01/10/2021,26.2,19,22.3,,,0,,,10.9,84.63,,6.8,63,81.54,Partially cloudy
"KA, India",01/11/2021,25.5,19.4,22.1,,,0,,,8.7,72.17,,6.2,90.3,81.89,Overcast
"KA, India",01/12/2021,23.3,18.7,20.7,,,0,,,11.2,68.5,,6.3,81,77.25,Overcast
"KA, India",01/13/2021,26.3,17.7,21.6,,,0,,,10.6,70.08,,6.8,49.3,73.14,Partially cloudy
"KA, India",01/14/2021,24.8,17,20.9,,,0,,,11.1,75.92,,6.4,53,81.95,Partially cloudy
"KA, India",01/15/2021,25.6,18.2,22.1,,,0,,,11.3,86.42,,6.2,44.9,77.37,Partially cloudy
"KA, India",01/16/2021,27.3,18,22.3,,28,0,,,11.1,91.67,,5.6,48,74.81,Partially cloudy
"KA, India",01/17/2021,28.8,17.1,22.5,,28.9,0,,,18,78.65,,6.3,39.1,68.46,Partially cloudy
"KA, India",01/18/2021,27.3,16.1,21.4,,27.1,0,,,14.3,83.96,,6.5,14.5,68.65,Clear
"KA, India",01/19/2021,27,17,21.9,,27,0,,,10.5,75.04,,6.4,26.6,69.26,Partially cloudy
"KA, India",01/20/2021,28,17,22.8,,28.4,0,,,14.4,79.82,,6,29.9,69.6,Partially cloudy
"KA, India",01/21/2021,30,16,23.6,,30.1,0,,,5.6,95.57,,6.4,38.8,70.1,Partially cloudy
"KA, India",01/22/2021,29.1,20,24.1,,29.3,0,,,7.5,78.75,,5.8,54.2,72.86,Partially cloudy
"KA, India",01/23/2021,27.8,18.7,22.8,,27.7,0,,,12.8,85.41,,6.2,32.1,68.6,Partially cloudy
"KA, India",01/24/2021,28,17.7,22.2,,27.4,0,,,8.5,70.18,,6.5,33.1,63.59,Partially cloudy
"KA, India",01/25/2021,27.6,16.7,21.8,,27.3,0,,,10.5,88.75,,6.4,24.9,65.85,Clear
"KA, India",01/26/2021,29.3,16,21.9,,27.9,0,,,10.5,84.57,,6.7,16,59.71,Clear
"KA, India",01/27/2021,28.3,16.1,21.9,,28.5,0,,,10.8,74.29,,6.3,29,59.52,Partially cloudy
"KA, India",01/28/2021,26.8,16,21.5,,26.7,0,,,13.3,82.33,,6,19.3,64.92,Clear
"KA, India",01/29/2021,27.8,18.6,22.6,,27.9,0,,,14,83.5,,6,47.4,68.23,Partially cloudy
"KA, India",01/30/2021,27.9,18.2,23,,28,0,,,11.3,71,,6.3,36.7,60.91,Partially cloudy
"KA, India",01/31/2021,28.6,17.2,22.8,,28.1,0,,,14.7,79.75,,5.6,37.2,63.35,Partially cloudy
"KA, India",02/01/2021,29,17.1,22.7,,27.9,0,,,11.3,69.42,,6.5,23,58.05,Clear
"KA, India",02/02/2021,27.3,17.2,22,,27,0,,,10.9,71.5,,6.1,38.6,64.56,Partially cloudy
"KA, India",02/03/2021,27,18.1,21.9,,27.4,0,,,13,80.38,,6.3,46.9,66.58,Partially cloudy
"KA, India",02/04/2021,28,16.3,22.1,,27.4,0,,,11.2,84.38,,5.5,19.6,58.81,Clear
"KA, India",02/05/2021,29,16.1,22.1,,27.8,0,,,14.5,66.63,183.6,6.5,15.4,56.92,Clear
"KA, India",02/06/2021,29,16.1,22.4,,28.6,0,,,12.9,69.13,,6.3,19.6,54.55,Clear
"KA, India",02/07/2021,28.3,17,22.4,,27.1,0,,,19.7,69.65,,6.8,16.5,43.29,Clear
"KA, India",02/08/2021,28.3,16.6,22.3,,27.4,0,,,17.5,71.79,,6.8,14.1,50.5,Clear
"KA, India",02/09/2021,26.1,16.2,21.2,,,0,,,21.7,86.83,,6.4,14.6,59.59,Clear
"KA, India",02/10/2021,28.9,15.2,22.2,,27.3,0,,,13,83.55,,6.6,10.8,46.39,Clear
"KA, India",02/11/2021,28.9,13,20.8,,27.4,0,,,14.7,98.06,,5.9,38.3,56.71,Partially cloudy
"KA, India",02/12/2021,29,12,21.2,,27.3,0,,,11.2,81.75,,6.5,27,49.91,Partially cloudy
"KA, India",02/13/2021,29.8,14.9,21.1,,28.2,0,,,11.2,92.95,,5.7,22.8,57.26,Clear
"KA, India",02/14/2021,29.1,16.2,23.3,,28.4,0,,,12.8,84.72,,6.8,18.1,53.17,Clear
"KA, India",02/15/2021,30.3,18,24.2,,29.2,0,,,11,151.39,,6.6,17.7,51.68,Clear
"KA, India",02/16/2021,30,19,24,,31,0,,,11.2,94.67,,6.5,18.3,55.39,Clear
"KA, India",02/17/2021,29.6,18.2,23.9,,28.7,0,,,16.6,72.33,166.7,7.5,30,54.14,Partially cloudy
"KA, India",02/18/2021,28.3,18.9,23,,28.3,0,,,17.8,83.33,,6.6,47,62.12,Partially cloudy
"KA, India",02/19/2021,28,18.8,22.6,,27.8,0,,,22.1,68.88,,6.1,66.3,67.43,Partially cloudy
"KA, India",02/20/2021,26,17,20.3,,,0,,,18.4,61,42.5,6.3,70.1,78.81,Partially cloudy
