Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Keralapura, Arkalgud, Karnataka, India",01-01-2010,20.4,20.4,20.4,,,0.1,,,4,65,,1.4,65.4,87.25,"Rain, Partially cloudy"
"Keralapura, Arkalgud, Karnataka, India",01-02-2010,19.2,19.2,19.2,,,0,,,1.8,58,,2.8,55.4,83.14,Partially cloudy
"Keralapura, Arkalgud, Karnataka, India",01-03-2010,18.8,18.8,18.8,,,0,,,1.8,58,,2,36.9,78.51,Partially cloudy
"Keralapura, Arkalgud, Karnataka, India",01-04-2010,17.7,17.7,17.7,,,0,,,1.8,218,,2,18.5,77,Clear
"Keralapura, Arkalgud, Karnataka, India",01-05-2010,18.3,18.3,18.3,,,0,,,0,,,2,0,71.19,Clear
"Keralapura, Arkalgud, Karnataka, India",01-06-2010,19.5,19.5,19.5,,,0,,,1.1,50,,2,0,73.98,Clear
"Keralapura, Arkalgud, Karnataka, India",01-07-2010,18.1,18.1,18.1,,,0,,,2.9,105,,2,55.4,72.39,Partially cloudy
"Keralapura, Arkalgud, Karnataka, India",01-08-2010,18.9,18.9,18.9,,,0,,,1.8,105,,2,34.6,83.67,Partially cloudy
"Keralapura, Arkalgud, Karnataka, India",01-09-2010,19.9,19.9,19.9,,,0,,,2.9,50,,2,61.5,85.94,Partially cloudy
"Keralapura, Arkalgud, Karnataka, India",01-10-2010,20.6,20.6,20.6,,,0,,,2.2,140,,2,70.8,87.9,Partially cloudy
"Keralapura, Arkalgud, Karnataka, India",01-11-2010,19.6,19.6,19.6,,,0,,,1.1,140,,1.4,65.4,91.28,Partially cloudy
"Keralapura, Arkalgud, Karnataka, India",01-12-2010,19.1,19.1,19.1,,,0,,,0,,,2,3.8,81.11,Clear
"Keralapura, Arkalgud, Karnataka, India",01/13/2010,19.8,19.8,19.8,,,0,,,0,,,1.6,70.8,90.67,Partially cloudy
"Keralapura, Arkalgud, Karnataka, India",01/14/2010,20.9,20.9,20.9,,,1,,,1.8,121,,1.4,76.9,90.66,"Rain, Overcast"
"Keralapura, Arkalgud, Karnataka, India",01/15/2010,21.2,21.2,21.2,,,0,,,4,65,,2.8,76.9,86.98,Overcast
"Keralapura, Arkalgud, Karnataka, India",01/16/2010,16.9,16.9,16.9,,,0,,,6.5,38,,2,66.9,82.7,Partially cloudy
"Keralapura, Arkalgud, Karnataka, India",01/17/2010,19.4,19.4,19.4,,,0,,,4.7,58,,2.8,0,71.04,Clear
"Keralapura, Arkalgud, Karnataka, India",01/18/2010,17.1,17.1,17.1,,,0,,,1.8,50,,2,0,84.13,Clear
"Keralapura, Arkalgud, Karnataka, India",01/19/2010,18.7,18.7,18.7,,,0,,,2.5,218,,1.6,38.5,85.61,Partially cloudy
"Keralapura, Arkalgud, Karnataka, India",01/20/2010,19.8,19.8,19.8,,,0,,,4,58,,1,3.8,83.05,Clear
"Keralapura, Arkalgud, Karnataka, India",01/21/2010,18.7,18.7,18.7,,,0,,,2.9,50,,2,0,77.91,Clear
"Keralapura, Arkalgud, Karnataka, India",01/22/2010,18.8,18.8,18.8,,,0,,,2.5,50,,2.8,0,74.01,Clear
"Keralapura, Arkalgud, Karnataka, India",01/23/2010,18,18,18,,,0,,,2.2,140,,2,0,66.81,Clear
"Keralapura, Arkalgud, Karnataka, India",01/24/2010,17.8,17.8,17.8,,,0,,,1.1,140,,1.4,0,67.08,Clear
"Keralapura, Arkalgud, Karnataka, India",01/25/2010,,,,,,0,,,,,,,,,
"Keralapura, Arkalgud, Karnataka, India",01/26/2010,19.1,19.1,19.1,,,0,,,1.8,50,,2.8,0,74.28,Clear
"Keralapura, Arkalgud, Karnataka, India",01/27/2010,19,19,19,,,0,,,1.1,50,,2,18.5,78.98,Clear
"Keralapura, Arkalgud, Karnataka, India",01/28/2010,19.1,19.1,19.1,,,0,,,2.9,105,,2,0,82.47,Clear
"Keralapura, Arkalgud, Karnataka, India",01/29/2010,18.7,18.7,18.7,,,0,,,4,65,,4.5,49.2,80.22,Partially cloudy
"Keralapura, Arkalgud, Karnataka, India",01/30/2010,19.4,19.4,19.4,,,0,,,2.9,50,,2,18.5,79.65,Clear
"Keralapura, Arkalgud, Karnataka, India",01/31/2010,19,19,19,,,0,,,2.2,140,,2,18.5,77,Clear
"Keralapura, Arkalgud, Karnataka, India",02-01-2010,19.1,19.1,19.1,,,0,,,1.8,121,,2,22.3,82.47,Clear
