,Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
0,"Krishnarajanagara, Karnataka, India",01-01-2010,21.5,21.5,21.5,,,0.1,,,2.6,81,,1.8,30.3,83.6,"Rain, Partially cloudy"
1,"Krishnarajanagara, Karnataka, India",01-02-2010,20.4,20.4,20.4,,,0,,,1.8,65,,3.5,20.3,76.94,Clear
2,"Krishnarajanagara, Karnataka, India",01-03-2010,19.8,19.8,19.8,,,0,,,1.8,65,,2,13.5,78.07,Clear
3,"Krishnarajanagara, Karnataka, India",01-04-2010,18.4,18.4,18.4,,,0,,,1.8,207,,2,6.8,75.19,Clear
4,"Krishnarajanagara, Karnataka, India",01-05-2010,18.5,18.5,18.5,,,0,,,0,,,2,0,72.14,Clear
5,"Krishnarajanagara, Karnataka, India",01-06-2010,19.8,19.8,19.8,,,0,,,0.4,50,,2,0,76.68,Clear
6,"Krishnarajanagara, Karnataka, India",01-07-2010,19.2,19.2,19.2,,,0,,,2.2,70,,2,20.3,66.42,Clear
7,"Krishnarajanagara, Karnataka, India",01-08-2010,19.7,19.7,19.7,,,0,,,1.8,70,,2,19,81.52,Clear
8,"Krishnarajanagara, Karnataka, India",01-09-2010,21,21,21,,,0,,,2.2,50,,2,22.6,83.77,Clear
9,"Krishnarajanagara, Karnataka, India",01-10-2010,21.4,21.4,21.4,,,0,,,0.8,140,,2,51.3,87.54,Partially cloudy
10,"Krishnarajanagara, Karnataka, India",01-11-2010,20.5,20.5,20.5,,,0,,,0.4,140,,1.8,30.3,88.7,Partially cloudy
11,"Krishnarajanagara, Karnataka, India",01-12-2010,20.8,20.8,20.8,,,0,,,0,,,2,7.7,83.36,Clear
12,"Krishnarajanagara, Karnataka, India",01/13/2010,21.2,21.2,21.2,,,0,,,0,,,1.2,51.3,92.1,Partially cloudy
13,"Krishnarajanagara, Karnataka, India",01/14/2010,21.7,21.7,21.7,,,1,,,1.8,101,,1.8,53.5,85.8,"Rain, Partially cloudy"
14,"Krishnarajanagara, Karnataka, India",01/15/2010,22.7,22.7,22.7,,,0,,,2.6,81,,3.5,53.5,83.63,Partially cloudy
15,"Krishnarajanagara, Karnataka, India",01/16/2010,18.1,18.1,18.1,,,0,,,3.5,27,,2,43.5,80.39,Partially cloudy
16,"Krishnarajanagara, Karnataka, India",01/17/2010,20.2,20.2,20.2,,,0,,,4,65,,3.5,0,69.42,Clear
