Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Mandya,01-01-2011,20.2,20.2,20.2,,,0,,,0,,,1,100,98.16,Overcast
Mandya,02-01-2011,20.1,20.1,20.1,,,0,,,0,,,1,90,94.56,Overcast
Mandya,03-01-2011,21.9,21.9,21.9,,,0,,,5.4,90,,1,100,91.2,Overcast
Mandya,04-01-2011,21.1,21.1,21.1,,,0,,,5.4,90,,2,10,83.52,Clear
Mandya,05-01-2011,21.2,21.2,21.2,,,0,,,3.6,70,,1,90,91.16,Overcast
Mandya,06-01-2011,,,,,,0,,,,,,,,,
Mandya,07-01-2011,20.7,20.7,20.7,,,0,,,3.6,70,,1,0,85.6,Clear
Mandya,08-01-2011,20.7,20.7,20.7,,,0,,,1.8,70,,1,0,84,Clear
Mandya,09-01-2011,19.7,19.7,19.7,,,0,,,0,,,1,30,85.5,Partially cloudy
Mandya,10-01-2011,20.7,20.7,20.7,,,0,,,3.6,110,,1,30,78.86,Partially cloudy
Mandya,11-01-2011,19.2,19.2,19.2,,,0,,,1.8,90,,1,10,82.24,Clear
Mandya,12-01-2011,16.7,16.7,16.7,,,0,,,0,,,1,0,78.27,Clear
Mandya,13-01-2011,17.1,17.1,17.1,,,0,,,0,,,10,0,76.31,Clear
Mandya,14-01-2011,19.7,19.7,19.7,,,0,,,1.8,70,,1,0,70.1,Clear
Mandya,15-01-2011,19.7,19.7,19.7,,,0,,,3.6,70,,1,0,80.24,Clear
Mandya,16-01-2011,19.7,19.7,19.7,,,0,,,5.4,50,,1,0,93.96,Clear
Mandya,17-01-2011,21.4,21.4,21.4,,,0,,,1.8,90,,1,0,91.17,Clear
Mandya,18-01-2011,21.2,21.2,21.2,,,0,,,7.6,70,,2,0,91.16,Clear
Mandya,19-01-2011,20.7,20.7,20.7,,,0,,,7.6,90,,2,0,77.37,Clear
Mandya,20-01-2011,18.7,18.7,18.7,,,0,,,0,,,1,0,79.59,Clear
Mandya,21-01-2011,19.9,19.9,19.9,,,0,,,3.6,70,,1,0,77.74,Clear
Mandya,22-01-2011,20.1,20.1,20.1,,,0,,,7.6,70,,1,0,94.56,Clear
