Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Mysuru, Karnataka, India",01-01-2011,20.2,20.2,20.2,,,0,,,0,,,1,100,98.16,Overcast
"Mysuru, Karnataka, India",01-02-2011,20.1,20.1,20.1,,,0,,,0,,,1,90,94.56,Overcast
"Mysuru, Karnataka, India",01-03-2011,21.9,21.9,21.9,,,0,,,5.4,90,,1,100,91.2,Overcast
"Mysuru, Karnataka, India",01-04-2011,21.1,21.1,21.1,,,0,,,5.4,90,,2,10,83.52,Clear
"Mysuru, Karnataka, India",01-05-2011,21.2,21.2,21.2,,,0,,,3.6,70,,1,90,91.16,Overcast
"Mysuru, Karnataka, India",01-06-2011,,,,,,0,,,,,,,,,
"Mysuru, Karnataka, India",01-07-2011,20.7,20.7,20.7,,,0,,,3.6,70,,1,0,85.6,Clear
"Mysuru, Karnataka, India",01-08-2011,20.7,20.7,20.7,,,0,,,1.8,70,,1,0,84,Clear
"Mysuru, Karnataka, India",01-09-2011,19.7,19.7,19.7,,,0,,,0,,,1,30,85.5,Partially cloudy
"Mysuru, Karnataka, India",01-10-2011,20.7,20.7,20.7,,,0,,,3.6,110,,1,30,78.86,Partially cloudy
"Mysuru, Karnataka, India",01-11-2011,19.2,19.2,19.2,,,0,,,1.8,90,,1,10,82.24,Clear
"Mysuru, Karnataka, India",01-12-2011,16.7,16.7,16.7,,,0,,,0,,,1,0,78.27,Clear
"Mysuru, Karnataka, India",01/13/2011,17.1,17.1,17.1,,,0,,,0,,,10,0,76.31,Clear
"Mysuru, Karnataka, India",01/14/2011,19.7,19.7,19.7,,,0,,,1.8,70,,1,0,70.1,Clear
"Mysuru, Karnataka, India",01/15/2011,19.7,19.7,19.7,,,0,,,3.6,70,,1,0,80.24,Clear
"Mysuru, Karnataka, India",01/16/2011,19.7,19.7,19.7,,,0,,,5.4,50,,1,0,93.96,Clear
"Mysuru, Karnataka, India",01/17/2011,21.4,21.4,21.4,,,0,,,1.8,90,,1,0,91.17,Clear
"Mysuru, Karnataka, India",01/18/2011,21.2,21.2,21.2,,,0,,,7.6,70,,2,0,91.16,Clear
"Mysuru, Karnataka, India",01/19/2011,20.7,20.7,20.7,,,0,,,7.6,90,,2,0,77.37,Clear
"Mysuru, Karnataka, India",01/20/2011,18.7,18.7,18.7,,,0,,,0,,,1,0,79.59,Clear
"Mysuru, Karnataka, India",01/21/2011,19.9,19.9,19.9,,,0,,,3.6,70,,1,0,77.74,Clear
"Mysuru, Karnataka, India",01/22/2011,20.1,20.1,20.1,,,0,,,7.6,70,,1,0,94.56,Clear
"Mysuru, Karnataka, India",01/23/2011,19.2,19.2,19.2,,,0,,,3.6,70,,1,50,96.93,Partially cloudy
