Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Saligrama, Krishnarajanagara, Karnataka, India",07-01-2011,72.5,72.5,72.5,,,0.12,,,1.7,249,,1.2,58.1,87.62,"Rain, Partially cloudy"
"Saligrama, Krishnarajanagara, Karnataka, India",07-02-2011,69,69,69,,,0.56,,,1.7,283,,1,89.4,90.22,"Rain, Overcast"
"Saligrama, Krishnarajanagara, Karnataka, India",07-03-2011,70.8,70.8,70.8,,,0.16,,,1.7,259,,1.2,73.4,89.33,"Rain, Partially cloudy"
"Saligrama, Krishnarajanagara, Karnataka, India",07-04-2011,72,72,72,,,0.08,,,1.2,270,,1.2,78.7,89.46,"Rain, Overcast"
"Saligrama, Krishnarajanagara, Karnataka, India",07-05-2011,71.7,71.7,71.7,,,0.39,,,2.3,283,,1.2,94.7,89.22,"Rain, Overcast"
"Saligrama, Krishnarajanagara, Karnataka, India",07-06-2011,69.7,69.7,69.7,,,0.75,,,1.7,259,,1,78.7,87.99,"Rain, Overcast"
"Saligrama, Krishnarajanagara, Karnataka, India",07-07-2011,70,70,70,,,0.79,,,1.7,270,,1,89.4,90.72,"Rain, Overcast"
"Saligrama, Krishnarajanagara, Karnataka, India",07-08-2011,,,,,,0,,,,,,,,,
"Saligrama, Krishnarajanagara, Karnataka, India",07-09-2011,71.4,71.4,71.4,,,0.51,,,1.7,270,,1.2,68.1,88.95,"Rain, Partially cloudy"
"Saligrama, Krishnarajanagara, Karnataka, India",07-10-2011,71.1,71.1,71.1,,,0.2,,,2.8,259,,0.9,68.7,93.48,"Rain, Partially cloudy"
"Saligrama, Krishnarajanagara, Karnataka, India",07-11-2011,70.9,70.9,70.9,,,0.75,,,1.7,272,,0.7,94.7,91.95,"Rain, Overcast"
"Saligrama, Krishnarajanagara, Karnataka, India",07-12-2011,71.4,71.4,71.4,,,0.47,,,2.2,293,,1.2,89.4,88.95,"Rain, Overcast"
"Saligrama, Krishnarajanagara, Karnataka, India",07/13/2011,69.4,69.4,69.4,,,1.18,,,3.9,293,,1,100,89.34,"Rain, Overcast"
"Saligrama, Krishnarajanagara, Karnataka, India",07/14/2011,70,70,70,,,0.78,,,3.9,272,,1,94.7,92.23,"Rain, Overcast"
"Saligrama, Krishnarajanagara, Karnataka, India",07/15/2011,73.5,73.5,73.5,,,0.16,,,2.2,230,,1.2,60,92.97,"Rain, Partially cloudy"
"Saligrama, Krishnarajanagara, Karnataka, India",07/16/2011,70.7,70.7,70.7,,,0.88,,,1.7,259,,1,78.7,94.29,"Rain, Overcast"
"Saligrama, Krishnarajanagara, Karnataka, India",07/17/2011,69.3,69.3,69.3,,,1.13,,,2.2,239,,1,73.4,93.27,"Rain, Partially cloudy"
"Saligrama, Krishnarajanagara, Karnataka, India",07/18/2011,,,,,,0,,,,,,,,,
"Saligrama, Krishnarajanagara, Karnataka, India",07/19/2011,69.7,69.7,69.7,,,1.35,,,3.9,272,,0.7,78.7,94.1,"Rain, Overcast"
"Saligrama, Krishnarajanagara, Karnataka, India",07/20/2011,70.9,70.9,70.9,,,1.85,,,3.4,283,,1,89.4,93.37,"Rain, Overcast"
"Saligrama, Krishnarajanagara, Karnataka, India",07/21/2011,70.1,70.1,70.1,,,0.48,,,2.8,214,,1,94.7,96.15,"Rain, Overcast"
"Saligrama, Krishnarajanagara, Karnataka, India",07/22/2011,72.8,72.8,72.8,,,0.12,,,2.2,230,,1.2,50,92.38,"Rain, Partially cloudy"
"Saligrama, Krishnarajanagara, Karnataka, India",07/23/2011,,,,,,0,,,,,,,,,
"Saligrama, Krishnarajanagara, Karnataka, India",07/24/2011,,,,,,0,,,,,,,,,
"Saligrama, Krishnarajanagara, Karnataka, India",07/25/2011,69.2,69.2,69.2,,,1.16,,,1,320,,1,94.7,96.13,"Rain, Overcast"
"Saligrama, Krishnarajanagara, Karnataka, India",07/26/2011,70.1,70.1,70.1,,,0.26,,,1.7,249,,1.2,73.4,88.79,"Rain, Partially cloudy"
